iter	Logloss
190	0.5170503794
191	0.5169903547
192	0.5169297483
193	0.5168559276
194	0.5168152048
195	0.5167535387
196	0.5167125457
197	0.5166569673
198	0.5165747528
199	0.5164959872
200	0.5164342588
201	0.5163541636
202	0.5163141056
203	0.5162443365
204	0.5161938899
205	0.516188384
206	0.516125222
207	0.5160567619
208	0.5159718879
209	0.5159363177
210	0.5158692704
211	0.5157927072
212	0.5157293167
213	0.5156927284
214	0.5156337426
215	0.5155602336
216	0.515517246
217	0.5154809694
218	0.5154226069
219	0.5153665506
220	0.515309123
221	0.5152554561
222	0.5151981324
223	0.5151502622
224	0.5150905492
225	0.5150311686
226	0.5149995045
227	0.5149539406
228	0.5148968246
229	0.5148267231
230	0.5147626884
231	0.514702082
232	0.5146717061
233	0.5146216128
234	0.5145644345
235	0.5145099988
236	0.5144530699
237	0.5143881418
238	0.5143555635
239	0.514248666
240	0.5141844651
241	0.5141277855
242	0.5140597617
243	0.5140085256
244	0.513947005
245	0.5138930472
246	0.5138543397
247	0.5138227171
248	0.5137625054
249	0.5136998628
250	0.5136744318
251	0.5136296989
252	0.5135460508
253	0.5134923631
254	0.5134346654
255	0.5133931323
256	0.5133276224
257	0.5132413149
258	0.5131859442
259	0.5131166738
260	0.5130485876
261	0.5130076569
262	0.5129517045
263	0.5128858
264	0.5128370156
265	0.5127759728
266	0.5127314062
267	0.5126868396
268	0.5126362476
269	0.5125944028
270	0.5125480286
271	0.5125054981
272	0.5124326125
273	0.5123795896
274	0.5123286652
275	0.5122776577
276	0.5122155554
277	0.5121703239
278	0.5121158674
279	0.5120558012
280	0.5119899173
281	0.5119485296
282	0.5118986649
283	0.5118289996
284	0.5117656922
285	0.5117153288
286	0.5116462245
287	0.5115595222
288	0.5114956122
289	0.5114411142
290	0.5113864292
291	0.5113315156
292	0.511271387
293	0.5112167851
294	0.5111337603
295	0.5110859941
296	0.5110452296
297	0.5110044236
298	0.5109628281
299	0.5108940979
300	0.5108380208
301	0.5107781415
302	0.5107145432
303	0.5106873877
304	0.5106263865
305	0.5105629128
306	0.5105026596
307	0.5104373575
308	0.5103709958
309	0.510343965
310	0.5103033252
311	0.5102497622
312	0.5101944954
313	0.5101294634
314	0.5100563285
315	0.5100021837
316	0.5099153567
317	0.5098405388
318	0.5097803686
319	0.5096962219
320	0.5096533174
321	0.5095969494
322	0.5095300476
323	0.5094660545
324	0.5093880992
325	0.5093652238
326	0.5092935224
327	0.5092272854
328	0.5091569138
329	0.5090994447
